context_feature_set,run_seed,transition,count,seed_total,rate
funding_plus_cftc_oi,42,both_correct,839,1441,0.582234559333796
funding_plus_cftc_oi,42,both_wrong,559,1441,0.3879250520471894
funding_plus_cftc_oi,42,stage2_correct_to_stage4_wrong,18,1441,0.0124913254684247
funding_plus_cftc_oi,42,stage2_wrong_to_stage4_correct,25,1441,0.0173490631505898
funding_plus_cftc_oi,43,both_correct,793,1441,0.5503122831367107
funding_plus_cftc_oi,43,both_wrong,607,1441,0.421235253296322
funding_plus_cftc_oi,43,stage2_correct_to_stage4_wrong,20,1441,0.0138792505204718
funding_plus_cftc_oi,43,stage2_wrong_to_stage4_correct,21,1441,0.0145732130464954
funding_plus_cftc_oi,44,both_correct,786,1441,0.5454545454545454
funding_plus_cftc_oi,44,both_wrong,648,1441,0.4496877168632894
funding_plus_cftc_oi,44,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
funding_plus_cftc_oi,44,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179
funding_plus_cftc_oi,45,both_correct,804,1441,0.5579458709229702
funding_plus_cftc_oi,45,both_wrong,621,1441,0.4309507286606523
funding_plus_cftc_oi,45,stage2_correct_to_stage4_wrong,7,1441,0.0048577376821651
funding_plus_cftc_oi,45,stage2_wrong_to_stage4_correct,9,1441,0.0062456627342123
funding_plus_cftc_oi,46,both_correct,815,1441,0.5655794587092297
funding_plus_cftc_oi,46,both_wrong,616,1441,0.4274809160305343
funding_plus_cftc_oi,46,stage2_correct_to_stage4_wrong,4,1441,0.0027758501040943
funding_plus_cftc_oi,46,stage2_wrong_to_stage4_correct,6,1441,0.0041637751561415
funding_only,42,both_correct,850,1441,0.5898681471200555
funding_only,42,both_wrong,573,1441,0.3976405274115198
funding_only,42,stage2_correct_to_stage4_wrong,7,1441,0.0048577376821651
funding_only,42,stage2_wrong_to_stage4_correct,11,1441,0.0076335877862595
funding_only,43,both_correct,803,1441,0.5572519083969466
funding_only,43,both_wrong,617,1441,0.4281748785565579
funding_only,43,stage2_correct_to_stage4_wrong,10,1441,0.0069396252602359
funding_only,43,stage2_wrong_to_stage4_correct,11,1441,0.0076335877862595
funding_only,44,both_correct,783,1441,0.5433726578764747
funding_only,44,both_wrong,652,1441,0.4524635669673837
funding_only,44,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
funding_only,44,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
funding_only,45,both_correct,809,1441,0.5614156835530881
funding_only,45,both_wrong,627,1441,0.4351145038167939
funding_only,45,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
funding_only,45,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
funding_only,46,both_correct,816,1441,0.5662734212352533
funding_only,46,both_wrong,619,1441,0.4295628036086051
funding_only,46,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
funding_only,46,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
