run_seed,transition,count,seed_total,rate
42,both_correct,867,1441,0.6016655100624566
42,both_wrong,570,1441,0.39555863983344897
42,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471894
42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471894
43,both_correct,822,1441,0.5704371963913949
43,both_wrong,609,1441,0.4226231783483692
43,stage2_correct_to_stage4_wrong,6,1441,0.004163775156141568
43,stage2_wrong_to_stage4_correct,4,1441,0.002775850104094379
44,both_correct,799,1441,0.5544760582928522
44,both_wrong,617,1441,0.42817487855655795
44,stage2_correct_to_stage4_wrong,12,1441,0.008327550312283136
44,stage2_wrong_to_stage4_correct,13,1441,0.009021512838306732
45,both_correct,805,1441,0.5586398334489937
45,both_wrong,625,1441,0.4337265787647467
45,stage2_correct_to_stage4_wrong,6,1441,0.004163775156141568
45,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179735
46,both_correct,850,1441,0.5898681471200555
46,both_wrong,583,1441,0.40458015267175573
46,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179735
46,stage2_wrong_to_stage4_correct,3,1441,0.002081887578070784
