run_seed,transition,count,rate
42,both_correct,859,0.5961138098542679
42,both_wrong,563,0.39070090215128384
42,regression,10,0.006939625260235947
42,correction,9,0.006245662734212352
43,both_correct,801,0.5558639833448994
43,both_wrong,587,0.4073560027758501
43,regression,27,0.018736988202637056
43,correction,26,0.018043025676613464
44,both_correct,783,0.5433726578764747
44,both_wrong,596,0.41360166551006244
44,correction,34,0.02359472588480222
44,regression,28,0.01943095072866065
45,both_correct,803,0.5572519083969466
45,both_wrong,618,0.42886884108258155
45,correction,12,0.008327550312283136
45,regression,8,0.005551700208188758
46,both_correct,842,0.5843164469118668
46,both_wrong,572,0.3969465648854962
46,correction,14,0.009715475364330326
46,regression,13,0.009021512838306732
